title,company,location,link
"오산공장 HACCP(품질관리), 음성공장 공무파트 경력사원 모집",(주)신세계푸드,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41373896
[본사] 제조생산/자동화설비 기획/조립/생산관리 정규직 채용,티디케이한국(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41439818
2021년 ㈜해원티앤디 공개채용(신입 및 경력 수시채용),(주)해원티앤디,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41441740
"2021년 (주)다원산업 경리, 기계 엔지니어, 생산직 채용",(주)다원산업,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41401096
[식품공장/셔틀버스운행]신세계푸드 오산공장 생산직원 모집,(주)삼구에프에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40109250
[월급310이상] 신세계푸드 오산공장 식품제조 OP 직원모집,(주)삼구에프에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41313795
[주5/월270이상] 스튜디오 사진&영상 촬영 및 편집 직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41445928
[동탄/주5일/셔틀버스] 부품 조립 직원 모집#,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41243524
[화성/주5일/성과급 별도/칼퇴가능] 중견기업 CAD보조 직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41404730
[신입가능/칼퇴근] 외국계 제약회사 물류전산 사무직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41444530
"에치와이(구, 한국야쿠르트) 평택공장 유제품 생산 직원 채용",(주)한국야쿠르트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41363692
상여 330 / 2021 동양산업 하반기 부서별팀원 신규채용,동양산업,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41426859
[B/E장비팀] Backend 장비 엔지니어 경력직 채용,엘비세미콘(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41298893
[국내영업팀] 반도체 국내영업 경력직 채용,엘비세미콘(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41453296
더블유건설㈜ - 본사 및 현장 채용공고,더블유건설(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41240674
